City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
124,daru,SL,1558378857,7.99,-10.85,79.62,89,78,3.6
125,datong,CN,1558378858,40.09,113.3,55.32,23,0,9.44
126,delemont,CH,1558378890,47.36,7.34,57.2,93,75,11.41
127,denpasar,ID,1558378866,-8.65,115.22,80.6,94,20,8.05
128,deputatskiy,RU,1558378776,69.3,139.9,8.52,82,47,3.31
129,dikson,RU,1558378766,73.51,80.55,20.22,85,12,12.15
130,dingle,PH,1558378836,11,122.67,79.08,80,4,2.73
131,diu,IN,1558378873,20.71,70.98,83.04,75,0,12.82
132,doha,QA,1558378609,25.29,51.53,84.2,78,15,2.24
133,dong xoai,VN,1558378870,11.53,106.92,83.76,71,100,5.44
134,dublin,IE,1558378538,53.35,-6.26,57.99,81,75,5.82
135,dudinka,RU,1558378842,69.41,86.18,15.8,92,75,29.08
136,dunedin,NZ,1558378846,-45.87,170.5,46.99,81,1,4
137,east london,ZA,1558378775,-33.02,27.91,60.8,72,20,27.51
138,edd,ER,1558378850,13.93,41.69,93.3,49,50,9.69
139,ekimchan,RU,1558378797,53.07,132.94,43.26,87,100,10.4
140,el alto,BO,1558378857,-16.5,-68.19,57.2,19,75,14.99
141,emerald,AU,1558378770,-23.53,148.16,60.8,82,0,6.93
142,eseka,CM,1558378855,3.65,10.77,76.92,91,100,3.13
143,esperance,TT,1558378843,10.24,-61.45,91.4,46,40,18.34
144,faanui,PF,1558378775,-16.48,-151.75,82.86,74,61,11.59
145,fallon,US,1558378758,46.84,-105.12,51.8,53,90,18.34
146,faya,SA,1558378788,18.39,42.45,59,76,20,5.82
147,flinders,AU,1558378755,-34.58,150.85,60.01,62,0,11.41
148,florida,CU,1558378581,21.53,-78.23,87.8,52,40,5.82
149,forio,IT,1558378777,40.73,13.86,62.6,77,75,6.93
150,fort frances,CA,1558378834,48.61,-93.4,63,38,1,9.17
151,fort nelson,CA,1558378858,58.81,-122.69,68,42,20,5.82
152,fortuna,ES,1558378767,38.18,-1.13,69.8,77,20,4.7
153,fuxin,CN,1558378889,42.02,121.65,56.94,40,4,11.95
154,ganzhou,CN,1558378783,25.86,114.93,64.32,66,1,3.42
155,garchitorena,PH,1558378763,13.88,123.7,84.3,75,59,6.11
156,georgetown,GY,1558378612,6.8,-58.16,82.4,83,75,11.41
157,geraldton,CA,1558378869,49.72,-86.95,55.4,43,75,11.41
158,gobabis,NA,1558378567,-22.45,18.97,68,24,0,2.24
159,goderich,CA,1558378839,43.74,-81.71,52,87,96,13
160,graaff-reinet,ZA,1558378808,-32.25,24.53,60,53,19,13.87
161,grand baie,MU,1558378661,-20.02,57.58,78.8,74,75,11.41
162,griffith,AU,1558378837,-34.29,146.06,55.4,82,13,5.82
163,grindavik,IS,1558378871,63.84,-22.43,51.01,100,75,9.17
164,gunjur,GM,1558378848,13.18,-16.76,80.6,61,0,9.17
165,haines junction,CA,1558378785,60.75,-137.51,51.18,48,11,7.23
